Designator,Mid X,Mid Y,Rotation,Layer
C1,7.366,94.57,270.0,top
C2,8.7884,-0.2736,180.0,top
C20,-5.0038,36.9446,90.0,top
D1,20.32,12.528,0.0,top
D2,-27.051,10.496,270.0,top
D3,-2.794,62.82,0.0,top
D4,4.572,62.82,180.0,top
D5,-7.493,-7.4168,0.0,top
D6,21.7424,9.6832,0.0,top
D7,-19.05,13.544,90.0,top
D8,-7.493,-10.0068,0.0,top
D9,-7.5439,-12.5968,0.0,top
Elmwood-D139-2,-13.2696,38.1254,0.0,top
FanQ1,26.7652,7.3972,180.0,top
FanQ2,-22.5552,11.6431,90.0,top
J4,-15.558,95.84,180.0,top
P1,-8.128,78.568,270.0,top
PowerQ1,-10.8925,63.008,90.0,top
PowerQ2,11.938,62.82,180.0,top
PowerR1,-12.0,51.0,180.0,top
PowerR10,-4.0,33.0,180.0,top
PowerR11,-4.0,29.0,180.0,top
PowerR12,-4.0,25.0,180.0,top
PowerR13,4.0,51.0,180.0,top
PowerR14,4.0,47.0,180.0,top
PowerR15,4.0,43.0,180.0,top
PowerR16,4.0,33.0,180.0,top
PowerR17,4.0,29.0,180.0,top
PowerR18,4.0,25.0,180.0,top
PowerR19,12.0,51.0,180.0,top
PowerR2,-12.0,47.0,180.0,top
PowerR20,12.0,47.0,180.0,top
PowerR21,12.0,43.0,180.0,top
PowerR22,12.0,33.0,180.0,top
PowerR23,12.0,29.0,180.0,top
PowerR24,12.0,25.0,180.0,top
PowerR3,-12.0,43.0,180.0,top
PowerR4,-12.0,33.0,180.0,top
PowerR5,-12.0,29.0,180.0,top
PowerR6,-12.0,25.0,180.0,top
PowerR7,-4.0,51.0,180.0,top
PowerR8,-4.0,47.0,180.0,top
PowerR9,-4.0,43.0,180.0,top
R1,7.7095,62.82,0.0,top
R10,-8.9408,-8.808,0.0,top
R11,-8.9916,-11.3988,0.0,top
R15,0.508,34.626,0.0,top
R19,18.6823,9.6832,180.0,top
R2,-6.858,62.82,180.0,top
R20,-18.923,10.2045,270.0,top
R22,-26.035,93.427,0.0,top
R3,-25.7837,97.51,0.0,top
R4,1.143,98.888,180.0,top
R5,-1.27,94.697,90.0,top
R7,-32.258,61.55,180.0,top
R8,-29.464,61.55,0.0,top
R9,-8.9021,-6.0648,0.0,top
U1,2.286,96.094,270.0,top
U2,-8.763,37.039,270.0,top
U3,8.0518,-4.826,90.0,top
U4,4.826,37.928,270.0,top
USER_BUTTON1,0.0,-11.5,180.0,top
dryer_print3D1,0.0,0.0,0.0,top
